DATETIME,STN_ID,WD,WS,WD_INS,WS_INS,INS_TM,TA,TA_MIN,TA_MIN_TM,TA_MAX,TA_MAX_TM,PS,TW,WH_MAX,WH_SIG,WP,LS,VT
1/1/2020 0:00,958,81,6.5,324,23.2,36,-1.3,-2.5,729,1.5,0,1032.2,-99,-99,-99,-99,-99,12.8
1/1/2020 1:00,958,85,6,60,9.1,15,-1.4,-1.7,8,-1.1,0,1031.6,-99,-99,-99,-99,-99,12.8
1/1/2020 2:00,958,84,6,60,9.1,15,-1,-1.7,8,-0.7,149,1031.6,-99,-99,-99,-99,-99,12.8
1/1/2020 3:00,958,79,3.6,60,9.1,15,-0.5,-1.7,8,-0.3,221,1031.6,-99,-99,-99,-99,-99,12.8
1/1/2020 4:00,958,99,2,60,9.1,15,-0.1,-1.7,8,0.1,349,1031.4,-99,-99,-99,-99,-99,12.7
1/1/2020 5:00,958,186,1.8,60,9.1,15,0.4,-1.7,8,0.5,445,1030.8,-99,-99,-99,-99,-99,12.7
1/1/2020 6:00,958,227,0.8,60,9.1,15,0.8,-1.7,8,1.1,552,1030.9,-99,-99,-99,-99,-99,12.7
1/1/2020 7:00,958,169,2.5,60,9.1,15,1.3,-1.7,8,1.7,657,1030.9,-99,-99,-99,-99,-99,12.7
1/1/2020 8:00,958,342,6.8,353,11,745,3.5,-1.7,8,3.9,739,1030.9,-99,-99,-99,-99,-99,12.7
1/1/2020 9:00,958,339,6.3,353,11,745,4,-1.7,8,4.2,825,1031.1,-99,-99,-99,-99,-99,13.1
1/1/2020 10:00,958,352,6.8,353,11,745,4.4,-1.7,8,4.5,916,1031.5,-99,-99,-99,-99,-99,13.7
1/1/2020 11:00,958,339,7.4,353,11,745,4.2,-1.7,8,4.5,916,-99,-99,-99,-99,-99,-99,13.8
1/1/2020 12:00,958,336,6.1,353,11,745,4.3,-1.7,8,4.5,916,1030.7,-99,-99,-99,-99,-99,13.8
1/1/2020 13:00,958,341,6.6,353,11,745,4.1,-1.7,8,4.5,916,1030.2,-99,-99,-99,-99,-99,13.8
1/1/2020 14:00,958,336,5.9,353,11,745,4.2,-1.7,8,4.5,916,1029.7,-99,-99,-99,-99,-99,13.8
1/1/2020 15:00,958,333,5.7,353,11,745,4.5,-1.7,8,4.6,1403,1029.8,-99,-99,-99,-99,-99,13.7
1/1/2020 16:00,958,331,6.1,353,11,745,4.8,-1.7,8,4.9,1536,1030.4,-99,-99,-99,-99,-99,13.8
1/1/2020 17:00,958,343,4.9,353,11,745,4.8,-1.7,8,4.9,1536,1030.2,-99,-99,-99,-99,-99,13.8
1/1/2020 18:00,958,350,4.3,353,11,745,4.8,-1.7,8,4.9,1536,1030.2,-99,-99,-99,-99,-99,13.1
1/1/2020 19:00,958,9,2.9,353,11,745,4.8,-1.7,8,4.9,1536,1030,-99,-99,-99,-99,-99,13
1/1/2020 20:00,958,11,2.7,353,11,745,4.9,-1.7,8,5.1,1916,1029.4,-99,-99,-99,-99,-99,12.9
1/1/2020 21:00,958,6,3.2,353,11,745,5.1,-1.7,8,5.2,2025,1029.5,-99,-99,-99,-99,-99,12.9
1/1/2020 22:00,958,341,3.6,353,11,745,5.5,-1.7,8,5.6,2152,1029.9,-99,-99,-99,-99,-99,12.9
1/1/2020 23:00,958,332,5.1,353,11,745,5.7,-1.7,8,5.8,2206,1029.6,-99,-99,-99,-99,-99,12.8
1/2/2020 0:00,958,342,3.4,353,11,745,5.8,-1.7,8,5.9,2334,1029,-99,-99,-99,-99,-99,12.8
1/2/2020 1:00,958,333,3.4,321,5.3,33,5.8,5.8,0,6.1,34,1028.6,-99,-99,-99,-99,-99,12.8
1/2/2020 2:00,958,322,4.5,326,6,147,5.9,5.8,0,6.1,34,1028.2,-99,-99,-99,-99,-99,12.8
1/2/2020 3:00,958,335,4.2,330,6.4,226,5.9,5.8,0,6.1,34,1028.1,-99,-99,-99,-99,-99,12.8
1/2/2020 4:00,958,341,5.4,338,6.9,351,5.9,5.8,0,6.1,34,1028,-99,-99,-99,-99,-99,12.7
